text,intent,response
"hi pal, what’s new?",greeting,Not much! What’s new with you?
yo bro!,greeting,Yo bro! How are things?
hey sis!,greeting,Hey sis! How’s your health?
hi folks!,greeting,Hi folks! How’s everyone doing?
hello team!,greeting,Hello team! How’s the energy?
hiya guys!,greeting,Hiya guys! How’s it going?
"hey fam, how’s it going?",greeting,Hey fam! It’s going well, you?
"good morning, how are you feeling?",greeting,Good morning! I’m feeling great, how about you?
hello dear!,greeting,Hello dear! How are you?
"hi there, buddy!",greeting,Hi there buddy! How are you today?
yo champ!,greeting,Yo champ! How’s your day?
"hey there, mate!",greeting,Hey mate! How are you?
"hello there, friend!",greeting,Hello friend! How are you today?
hi hero!,greeting,Hi hero! Feeling strong?
"good evening, my friend",greeting,Good evening friend! How are you?
"hello, it’s good to connect",greeting,Good to connect with you too! How are you?
"hey buddy, how’s your health?",greeting,My health’s fine, thanks! How’s yours?
"hi, what’s happening?",greeting,Not much! What’s happening with you?
"good day, how are you?",greeting,Good day! I’m good, how about you?
"yo, good to see you!",greeting,Good to see you too! How are you?
hiya pal!,greeting,Hiya pal! How’s it going?
"hello there, how’s it going?",greeting,It’s going well! How about you?
"hi champ, how are you today?",greeting,I’m good! How are you champ?
hey superstar!,greeting,Hey superstar! How are you shining?
hello legend!,greeting,Hello legend! How are you doing?
hi genius!,greeting,Hi genius! How’s your day?
"hiya mate, how’s your health?",greeting,My health’s good! How’s yours?
"good evening, nice to see you",greeting,Nice to see you too! How are you?
"hey, how’s the day treating you?",greeting,The day’s been kind! How about yours?
"hi, long time!",greeting,Yes! Long time. How are you?
"hello, hope all is well",greeting,Yes, all is well! How about you?
hiya! how are you feeling?,greeting,I’m feeling good! How about you?
"hi there, how’s everything?",greeting,Everything’s fine! How about you?
"hey, nice to catch up!",greeting,Nice to catch up indeed! How are you?
"hello, it’s been a while!",greeting,Yes! It has. How have you been?
good morning sunshine!,greeting,Good morning sunshine! How are you?
"hiya champ, how’s your mood?",greeting,My mood’s good! How’s yours?
"hi buddy, what’s up?",greeting,Not much buddy! What’s up with you?
"hey there, glad to see you",greeting,Glad to see you too! How are you?
"hello mate, how’s your energy?",greeting,My energy’s high! How about yours?
"yo dude, how are you?",greeting,Yo dude! I’m good. You?
"hi there, superstar!",greeting,Hi superstar! How are you today?
"hey there, my friend",greeting,Hey my friend! How are you?
good evening champ!,greeting,Good evening champ! How are you?
"hi, what’s good?",greeting,Everything’s good! How about you?
"hello there, partner!",greeting,Hello partner! How are you?
"hiya, glad you’re here",greeting,I’m glad too! How are you feeling?
"hey champ, feeling good?",greeting,Yes, I’m feeling good! How about you?
"hi bro, how are things?",greeting,Things are fine! How about you?
"hello sis, how’s your day?",greeting,Her day’s good! How’s yours?
"hey friend, feeling okay?",greeting,Yes! I’m feeling okay. How about you?
"hi, how are you holding up?",greeting,I’m holding up well! How about you?
"hiya, how’s your spirit?",greeting,My spirit’s high! How about yours?
"good morning buddy, how are you?",greeting,Good morning buddy! I’m good. You?
"yo champ, how’s the vibe?",greeting,The vibe’s great! How about yours?
"hello mate, feeling fine?",greeting,Yes! I’m fine. How about you?
"hi hero, how’s life?",greeting,Life’s good! How’s yours?
"hey superstar, how are things?",greeting,Things are going well! How about you?
"hiya bro, what’s up?",greeting,Not much bro! What’s up with you?
"good evening, how was your day?",greeting,My day’s good! How was yours?
"hi there, glad you’re here",greeting,I’m glad too! How are you?
"hello champ, how are you?",greeting,I’m fine champ! How are you?
"hey there, what’s new?",greeting,Not much! What’s new with you?
"hi friend, how’s the week going?",greeting,The week’s going well! How about yours?
"yo mate, how are you feeling?",greeting,I’m feeling good! How about you?
"hello there, glad to see you",greeting,Glad to see you too! How are you?
"hiya buddy, what’s happening?",greeting,Not much buddy! What’s happening with you?
"hi mate, hope you’re doing fine",greeting,Yes! I’m doing fine. How about you?
"hey there, feeling good?",greeting,Yes! Feeling good. You?
"hello superstar, how are you?",greeting,I’m fine superstar! How are you?
"hi legend, what’s up?",greeting,Not much legend! What’s up with you?
"hiya, hope you’re well",greeting,Yes, I’m well! How about you?
"good morning, how’s everything?",greeting,Everything’s good! How about you?
"hey champ, how’s your week?",greeting,My week’s going well! How’s yours?
"hi hero, nice to see you",greeting,Nice to see you too hero! How are you?
"hello bro, what’s good?",greeting,Everything’s good bro! How about you?
"hiya sis, how’s everything?",greeting,Everything’s fine sis! How about you?
"hi there, what’s happening champ?",greeting,Not much champ! What’s happening with you?
"hey mate, long time no see!",greeting,Yes, long time mate! How are you?
"hello, how’s your energy today?",greeting,My energy’s great! How’s yours?
"hiya friend, glad to see you",greeting,Glad to see you too friend! How are you?
"good evening hero, how are you?",greeting,I’m fine hero! How about you?
"hi superstar, how’s life?",greeting,Life’s great superstar! How about you?
"hey buddy, hope you’re well",greeting,Yes, I’m well buddy! How about you?
"hello champ, how’s your health?",greeting,My health’s fine champ! How’s yours?
"hiya mate, good to see you",greeting,Good to see you too mate! How are you?
"hi friend, how are you today?",greeting,I’m fine friend! How about you?
"yo, how’s your day going?",greeting,My day’s going well! How’s yours?
"hello there, how’s life treating you?",greeting,Life’s treating me well! How about you?
"hiya hero, how’s it going?",greeting,It’s going well hero! How are you?
"Goodbye, take care!",farewell,Goodbye! Take care of yourself.
See you later!,farewell,See you later! Stay well.
"Bye, talk to you soon.",farewell,Bye! Talk soon.
Catch you later.,farewell,Catch you later! Stay safe.
Good night!,farewell,Good night! Sleep well.
Talk to you later.,farewell,Sure! Talk to you later.
I’ll see you tomorrow.,farewell,See you tomorrow! Have a great night.
Goodbye for now.,farewell,Goodbye for now! Take care.
See you around.,farewell,See you around! Stay healthy.
"Take care, bye!",farewell,Bye! Take care of yourself.
Have a great day!,farewell,You too! Have a great day.
Bye-bye.,farewell,Bye-bye! Stay safe.
See ya.,farewell,See ya soon!
I gotta go now.,farewell,Alright! Take care and see you soon.
Talk later.,farewell,Sure! Talk later.
See you next time.,farewell,See you next time! Stay well.
Have a good one!,farewell,Thanks! You too.
Goodbye and take care.,farewell,Goodbye! Take care and be safe.
See you in a bit.,farewell,See you in a bit!
Catch up later.,farewell,Sure! Catch up later.
"It was nice chatting, bye!",farewell,Nice chatting too! Bye!
"Alright, goodbye.",farewell,Alright! Goodbye.
See you soon!,farewell,See you soon!
Talk soon.,farewell,Talk soon! Stay safe.
"Goodnight, bye.",farewell,Goodnight! Bye!
Have a nice evening.,farewell,You too! Have a nice evening.
"Bye, see you later.",farewell,See you later! Bye!
"Take care, talk soon.",farewell,Take care! We’ll talk soon.
Catch you some other time.,farewell,Sure! Catch you another time.
"See you later, alligator.",farewell,Haha! See you later!
"I’ll be off now, goodbye.",farewell,Alright! Goodbye for now.
"Bye, take it easy.",farewell,Bye! Take it easy too.
"See you tomorrow, bye.",farewell,See you tomorrow! Bye!
"Goodbye, talk to you tomorrow.",farewell,Goodbye! Talk tomorrow.
"Later, friend.",farewell,Later friend! Take care.
See you in the morning.,farewell,See you in the morning! Rest well.
Bye for now.,farewell,Bye for now! Stay well.
Take care until next time.,farewell,Yes! Take care until next time.
"Alright, bye.",farewell,Alright! Bye.
Catch you soon!,farewell,Catch you soon!
Have a wonderful evening.,farewell,Thanks! You too.
"Talk to you next time, bye.",farewell,Talk to you next time! Bye.
"See you around, bye.",farewell,See you around! Bye.
I’ll see you again soon.,farewell,Yes! See you again soon.
Goodbye and have a good day.,farewell,Goodbye! Have a wonderful day.
"Bye-bye, take care.",farewell,Bye-bye! Take care too.
"Catch you later, bye.",farewell,Catch you later! Bye.
"I’ll talk to you later, bye.",farewell,Sure! Talk later. Bye.
"See you, take care.",farewell,See you! Take care.
Goodbye now.,farewell,Goodbye now! Stay safe.
"Goodnight, see you tomorrow.",farewell,Goodnight! See you tomorrow.
"Bye, friend.",farewell,Bye friend! Stay well.
I’ll see you next week.,farewell,See you next week!
"See you soon, bye.",farewell,See you soon! Bye.
Bye now!,farewell,Bye now! Take care.
Catch you in a bit.,farewell,Catch you in a bit!
"See you, bye-bye.",farewell,See you! Bye-bye.
"Bye, stay safe.",farewell,Bye! You stay safe too.
Goodbye and stay well.,farewell,Goodbye! Stay well.
"Alright then, goodbye.",farewell,Alright then! Goodbye.
Have a good night.,farewell,Good night! Rest well.
See you on the weekend.,farewell,See you this weekend!
"Bye, see you again.",farewell,Bye! See you again soon.
"Take care, goodbye.",farewell,Take care! Goodbye.
"Goodbye, see you next time.",farewell,Goodbye! See you next time.
Catch you next time.,farewell,Sure! Catch you next time.
"Talk later, bye.",farewell,Alright! Talk later. Bye.
Have a good rest of your day.,farewell,Thanks! You too.
Bye-bye now.,farewell,Bye-bye now! Take care.
"See you later, buddy.",farewell,See you later buddy!
"Goodnight, sweet dreams.",farewell,Goodnight! Sweet dreams.
"Alright, see ya.",farewell,Alright! See ya.
"Talk tomorrow, goodbye.",farewell,Talk tomorrow! Goodbye.
Catch up with you soon.,farewell,Yes! Catch up soon.
"See you then, bye.",farewell,See you then! Bye.
"Goodbye, my friend.",farewell,Goodbye my friend! Take care.
"Later, bye.",farewell,Later! Bye.
"Bye, have fun.",farewell,Bye! Have fun too.
See you in class.,farewell,See you in class!
"Goodbye, take it easy.",farewell,Goodbye! Take it easy.
"Catch you at work, bye.",farewell,Sure! Catch you at work. Bye.
"Alright, see you.",farewell,Alright! See you.
"Bye now, talk later.",farewell,Bye now! Talk later.
See you in a while.,farewell,See you in a while!
"Goodnight, talk tomorrow.",farewell,Goodnight! Talk tomorrow.
"Take care, friend.",farewell,Take care friend! Bye.
"Bye, until next time.",farewell,Bye! Until next time.
"Later on, goodbye.",farewell,Later! Goodbye.
"See you soon, take care.",farewell,See you soon! Take care.
"Bye, take care of yourself.",farewell,Bye! Take care of yourself.
Catch you when I see you.,farewell,Sure! Catch you then.
"Goodbye, stay safe.",farewell,Goodbye! Stay safe too.
"Alright, bye-bye.",farewell,Alright! Bye-bye.
"Talk soon, goodbye.",farewell,Talk soon! Goodbye.
See you in a little while.,farewell,See you in a little while.
"Bye, I’ll miss you.",farewell,Bye! I’ll miss you too.
"Take care, see you later.",farewell,Take care! See you later.
"Goodbye, all the best.",farewell,Goodbye! Wishing you the best.
See you shortly.,farewell,See you shortly!
"Later, talk soon.",farewell,Later! Talk soon.
Goodbye until later.,farewell,Goodbye! Until later.
"Have a great evening, bye.",farewell,Thanks! Have a great evening too.
See you at lunch tomorrow.,farewell,See you at lunch tomorrow!
"Bye, have a safe trip.",farewell,Bye! Have a safe trip.
"Take care now, goodbye.",farewell,Take care now! Goodbye.
Catch you another time.,farewell,Sure! Catch you another time.
"Goodbye, until tomorrow.",farewell,Goodbye! Until tomorrow.
"Alright, see you tomorrow.",farewell,Alright! See you tomorrow.
Bye for today.,farewell,Bye for today! Take care.
Have a nice night.,farewell,Have a nice night too.
"Goodbye, I’ll see you again.",farewell,Goodbye! See you again.
Catch you in class tomorrow.,farewell,See you in class tomorrow!
"See you tonight, bye.",farewell,See you tonight! Bye.
Take care and goodbye.,farewell,Take care! Goodbye.
See you around soon.,farewell,See you around soon!
"Goodbye, take care always.",farewell,Goodbye! Always take care.
"Bye, stay healthy.",farewell,Bye! Stay healthy too.
"Catch you later, my friend.",farewell,Catch you later my friend!
"Alright then, bye.",farewell,Alright then! Bye.
Talk to you again soon.,farewell,Sure! Talk again soon.
Goodbye and talk soon.,farewell,Goodbye! Talk soon.
See you in the evening.,farewell,See you this evening!
"Bye, take care until later.",farewell,Bye! Take care until later.
Catch you later today.,farewell,See you later today!
"Goodbye now, take care.",farewell,Goodbye now! Take care.
See you at the meeting.,farewell,See you at the meeting!
Bye for a while.,farewell,Bye for a while! Take care.
"Take care, we’ll talk soon.",farewell,Take care! Talk soon.
"Goodbye, take care, bye.",farewell,Goodbye! Take care, bye.
"Later, take it easy.",farewell,Later! Take it easy.
See you on Monday.,farewell,See you on Monday!
"Bye-bye, have fun.",farewell,Bye-bye! Have fun too.
"Goodbye, see you shortly.",farewell,Goodbye! See you shortly.
Catch you when I can.,farewell,Sure! Catch you when I can.
"Talk tomorrow, bye.",farewell,Talk tomorrow! Bye.
"See you, take it easy.",farewell,See you! Take it easy.
"Goodbye, later.",farewell,Goodbye! Later.
"Bye, my friend.",farewell,Bye my friend! Stay safe.
See you at school.,farewell,See you at school!
Catch you again soon.,farewell,Catch you again soon!
Take care till we meet again.,farewell,Take care till then! Bye.
"Goodbye, be safe.",farewell,Goodbye! Be safe.
"See you next time, bye.",farewell,See you next time! Bye.
"Bye-bye, goodbye.",farewell,Bye-bye! Goodbye!
"Later, have a good night.",farewell,Later! Have a good night.
Goodbye and farewell.,farewell,Goodbye and farewell!
Talk again soon.,farewell,Sure! Talk again soon.
See you at dinner.,farewell,See you at dinner!
"Bye, enjoy your day.",farewell,Thanks! Enjoy your day too.
"Take care, bye-bye.",farewell,Take care! Bye-bye.
"Goodbye, see you later today.",farewell,Goodbye! See you later today.
"Catch you, goodbye.",farewell,Catch you! Goodbye.
See you after work.,farewell,See you after work!
"Bye, I’ll see you soon.",farewell,Bye! See you soon.
"Goodbye, it was nice talking.",farewell,Goodbye! Nice talking to you.
"See you, goodbye.",farewell,See you! Goodbye.
"Take care, later.",farewell,Take care! Later.
"Goodbye, till we meet again.",farewell,Goodbye! Till we meet again.
"Catch you again, bye.",farewell,Catch you again! Bye.
"Bye now, see you.",farewell,Bye now! See you.
"Later, see you soon.",farewell,Later! See you soon.
See you at the party.,farewell,See you at the party!
"Bye, have a nice evening.",farewell,Bye! Have a nice evening too.
"Catch you later, see ya.",farewell,Catch you later! See ya.
"What medicine should I take for a headache?","medicine_advice","For headaches, paracetamol (acetaminophen) is often used. Avoid overuse and consult a doctor if pain persists."
"Can I use ibuprofen for back pain?","medicine_advice","Ibuprofen may help with back pain since it reduces inflammation, but use as directed and avoid if you have stomach or kidney issues."
"Is paracetamol safe for kids?","medicine_advice","Paracetamol is safe for children when given in the correct dosage based on age/weight. Always follow pediatric dosing instructions."
"Which pill is good for fever?","medicine_advice","Paracetamol is usually recommended for reducing fever. If it persists, seek medical advice."
"Should I take antibiotics for a cold?","medicine_advice","Colds are viral and antibiotics don’t help. Rest, fluids, and fever reducers may be better. Consult a doctor if severe."
"Is aspirin safe for daily use?","medicine_advice","Daily aspirin should only be taken if prescribed for heart or stroke prevention. Don’t self-start without medical advice."
"What’s the best medicine for allergies?","medicine_advice","Antihistamines like cetirizine or loratadine may help with allergies. Always check for drowsiness effects."
"Can I use cough syrup at night?","medicine_advice","Yes, but choose a non-drowsy or drowsy type depending on your needs. Follow label directions carefully."
"How often should I take painkillers?","medicine_advice","Take painkillers only as directed on the label or by your doctor. Avoid long-term use without medical guidance."
"Is it okay to take vitamins daily?","medicine_advice","Yes, daily vitamins can be safe if taken within the recommended dose. Overuse may cause side effects."
"Which medicine helps with stomach pain?","medicine_advice","It depends on the cause. Antacids may help with acidity; consult a doctor if pain is severe or recurrent."
"Should I use antibiotics for sore throat?","medicine_advice","Not all sore throats need antibiotics. Many are viral. A doctor can confirm if antibiotics are required."
"Can I take medicine on an empty stomach?","medicine_advice","Some medicines can be taken on an empty stomach, but others may irritate. Always check the instructions on the label."
"What tablets are good for dizziness?","medicine_advice","For dizziness, doctors may prescribe medicines like meclizine. Self-treatment isn’t advised without medical guidance."
"Is ibuprofen safe with food?","medicine_advice","Yes, ibuprofen is usually safer when taken with food to reduce stomach irritation."
"Should I take sleeping pills?","medicine_advice","Sleeping pills should only be used short-term and under medical supervision. Try natural sleep routines first."
"Is it okay to mix medicines?","medicine_advice","Never mix medicines without checking with a doctor or pharmacist. Some combinations can be harmful."
"Can I use painkillers for toothache?","medicine_advice","Yes, paracetamol or ibuprofen may relieve toothache, but see a dentist for proper treatment."
"Is cough syrup safe for children?","medicine_advice","Some cough syrups are not recommended for young children. Always check the label and pediatric guidance."
"Which medicine should I take for nausea?","medicine_advice","Doctors may prescribe anti-nausea drugs like ondansetron or dimenhydrinate. Avoid self-medicating."
"Is it safe to take expired medicine?","medicine_advice","No, expired medicines may be ineffective or unsafe. Always dispose of them safely."
"What drug helps with anxiety?","medicine_advice","Doctors may prescribe anti-anxiety medications, but these require supervision. Lifestyle changes and therapy also help."
"Should I take probiotics with antibiotics?","medicine_advice","Probiotics may help reduce side effects of antibiotics. Take them a few hours apart for best effect."
"Can I take two painkillers at once?","medicine_advice","Don’t combine painkillers unless instructed by a doctor. Some can be safely alternated, but never double-dose."
"Is paracetamol safe during pregnancy?","medicine_advice","Paracetamol is usually considered safe during pregnancy, but always consult your doctor before use."
"Should I use antihistamines for itching?","medicine_advice","Yes, antihistamines may help with itching, especially from allergies. Follow dosage instructions carefully."
"Which medicine lowers blood pressure?","medicine_advice","Blood pressure medicines include ACE inhibitors, beta-blockers, and diuretics, prescribed by doctors only."
"Is aspirin good for heart health?","medicine_advice","Low-dose aspirin may be prescribed for heart health, but only under medical supervision."
"What medicine is best for migraines?","medicine_advice","Over-the-counter pain relievers may help mild migraines, but stronger prescription medicines are often needed."
"Can I use antibiotics without prescription?","medicine_advice","No, antibiotics should never be taken without a prescription. Misuse causes resistance and side effects."
"Is ibuprofen safe for children?","medicine_advice","Ibuprofen is safe for children above 6 months when given in correct doses. Always check age/weight-based charts."
"Should I take supplements daily?","medicine_advice","Supplements may be safe, but only if you lack certain nutrients. A balanced diet is usually enough."
"Which pill reduces fever quickly?","medicine_advice","Paracetamol or ibuprofen may reduce fever quickly. Always follow dosage instructions."
"Is cough syrup safe in pregnancy?","medicine_advice","Some cough syrups are not safe during pregnancy. Always consult your doctor before use."
"Can I take painkillers for period cramps?","medicine_advice","Yes, ibuprofen or mefenamic acid may help with cramps. Paracetamol can also be used."
"What medicine helps motion sickness?","medicine_advice","Medicines like dimenhydrinate or meclizine may help motion sickness. Take them before travel if advised."
"Is paracetamol safe for seniors?","medicine_advice","Yes, paracetamol is usually safe for seniors if used within recommended doses. Avoid long-term overuse."
"Can I use ointment for burns?","medicine_advice","Yes, antiseptic burn ointments may help with minor burns. Severe burns require emergency care."
"Which medicine helps sleep problems?","medicine_advice","Doctors may prescribe sleep aids, but lifestyle changes (sleep hygiene) are safer long-term."
"Is it okay to take vitamins at night?","medicine_advice","Yes, most vitamins can be taken at night, though some (like B vitamins) may affect sleep."
"Should I take antibiotics for ear infection?","medicine_advice","Some ear infections need antibiotics, but others resolve on their own. A doctor can decide."
"Which tablets are good for acidity?","medicine_advice","Antacids, H2 blockers, or proton pump inhibitors may help acidity. Long-term use requires doctor advice."
"Is ibuprofen safe with alcohol?","medicine_advice","No, combining ibuprofen with alcohol can increase risk of stomach bleeding. Avoid mixing them."
"What medicine works for cold?","medicine_advice","Colds are viral, so no specific medicine cures them. Pain relievers, decongestants, and rest may help."
"Can I take paracetamol and ibuprofen together?","medicine_advice","Yes, they can be alternated or combined for pain/fever, but only within safe dose limits."
"Should I take antacids before meals?","medicine_advice","Some antacids work best before meals, others after. Always follow product instructions."
"What medicine helps constipation?","medicine_advice","Laxatives like lactulose or fiber supplements may help. Increase water and fiber intake too."
"Is aspirin safe for older adults?","medicine_advice","Older adults may be more prone to side effects. Use aspirin only if prescribed by a doctor."
"Can I take painkillers after exercise?","medicine_advice","Occasional use may help muscle soreness, but avoid frequent use. Consider stretching and hydration first."
"Which medicine helps with diarrhea?","medicine_advice","Loperamide may help with diarrhea, but fluids and electrolytes are most important. Seek help if severe."
"Should I use antibiotics for flu?","medicine_advice","Flu is viral, so antibiotics don’t work. Antiviral medicines may help if prescribed early."
"Can I take cough syrup in the morning?","medicine_advice","Yes, but some syrups cause drowsiness. Use daytime or nighttime formulas accordingly."
"Is it okay to stop medicine suddenly?","medicine_advice","Some medicines must not be stopped suddenly (e.g., steroids, antidepressants). Always consult your doctor first."
"Which drug helps with insomnia?","medicine_advice","Prescription sleep aids may help insomnia, but they must be used under doctor supervision."
"Is ibuprofen good for swelling?","medicine_advice","Yes, ibuprofen reduces inflammation and swelling. Take with food and avoid long-term overuse."
"What medicine reduces anxiety quickly?","medicine_advice","Fast-acting anti-anxiety medicines exist but require prescription. Breathing exercises may also help."
"Should I take medicine before or after food?","medicine_advice","It depends on the medicine. Always check the instructions on the label or ask a pharmacist."
"Is it safe to take two antibiotics?","medicine_advice","Never take two antibiotics without doctor supervision. It may cause dangerous side effects."
"What tablets help with heartburn?","medicine_advice","Antacids or proton pump inhibitors may relieve heartburn. Persistent symptoms need medical advice."
"Can I use eye drops daily?","medicine_advice","Artificial tears are generally safe daily, but medicated eye drops shouldn’t be overused."
"Is paracetamol safe for babies?","medicine_advice","Yes, but only in exact infant doses. Always use pediatric drops with correct measurement."
"Should I take medicine with milk?","medicine_advice","Some medicines can be taken with milk, but others may lose effectiveness. Check the label."
"What is the dosage for ibuprofen?","medicine_advice","Typical adult dose is 200–400mg every 6–8 hours, not exceeding 1200mg daily unless prescribed. Check label."
"Can I use antiseptic cream for cuts?","medicine_advice","Yes, antiseptic creams may help small cuts heal faster. Deep cuts need medical care."
"Is cough syrup addictive?","medicine_advice","Some cough syrups containing codeine can be addictive. Use only as prescribed."
"Which pill helps with indigestion?","medicine_advice","Antacids may help mild indigestion. For frequent symptoms, consult a doctor."
"Can I use antibiotics for skin infection?","medicine_advice","Yes, but only if prescribed. Not all skin infections require antibiotics."
"Is it safe to take vitamins together?","medicine_advice","Some vitamins can interact if overdosed. Stick to recommended multivitamin doses."
"What medicine helps with cold sores?","medicine_advice","Antiviral creams or tablets may help cold sores. Use them early for best results."
"Should I use nasal spray daily?","medicine_advice","Saline sprays are safe daily, but medicated sprays can cause rebound congestion if overused."
"Is aspirin safe for kids?","medicine_advice","No, aspirin is not recommended for children due to risk of Reye’s syndrome."
"Can I take antibiotics with alcohol?","medicine_advice","Alcohol may interfere with some antibiotics. It’s safest to avoid mixing them."
"Which drug helps with stress?","medicine_advice","Doctors may prescribe anti-anxiety or antidepressants, but stress management techniques help too."
"Is ibuprofen safe for headaches?","medicine_advice","Yes, ibuprofen may relieve headaches, but avoid frequent use. Paracetamol is another option."
"Should I take multivitamins?","medicine_advice","Yes, if you lack nutrients. A balanced diet is usually enough for most people."
"Which medicine helps with ulcers?","medicine_advice","Doctors may prescribe proton pump inhibitors or antibiotics if ulcers are caused by infection."
"Is paracetamol good for fever?","medicine_advice","Yes, paracetamol is safe and effective for reducing fever."
"Can I use herbal medicine instead?","medicine_advice","Some herbal medicines may help, but effectiveness varies. Always discuss with a doctor first."
"Should I use pain gel for joint pain?","medicine_advice","Pain relief gels may help mild joint pain. For chronic pain, consult a doctor."
"Is it safe to take antibiotics daily?","medicine_advice","No, daily antibiotics are unsafe unless specifically prescribed for certain conditions."
"What medicine helps muscle cramps?","medicine_advice","Magnesium supplements or muscle relaxants may help, but consult a doctor for frequent cramps."
"Can I use aspirin for chest pain?","medicine_advice","Aspirin may help during suspected heart attack, but only under emergency medical guidance."
"Which pill helps with allergies?","medicine_advice","Antihistamine pills like loratadine or cetirizine may help allergy symptoms."
"Is ibuprofen good for fever?","medicine_advice","Yes, ibuprofen can help reduce fever. Take with food."
"Should I take medicine for mild pain?","medicine_advice","For mild pain, rest and hydration may be enough. Use painkillers only if needed."
"Can I use ear drops daily?","medicine_advice","Overusing medicated ear drops may cause side effects. Use only as prescribed."
"Which medicine is best for acne?","medicine_advice","Topical creams (benzoyl peroxide, salicylic acid) may help acne. Severe cases need doctor-prescribed treatment."
"Is paracetamol good for headaches?","medicine_advice","Yes, paracetamol is commonly used for headaches. Avoid exceeding daily limits."
"Can I take sleeping pills often?","medicine_advice","Sleeping pills should not be used often due to risk of dependence. Use only short-term under doctor care."
"Should I take medicine when not needed?","medicine_advice","No, unnecessary medicine can cause harm. Take medicines only when prescribed or required."
"What medicine helps with sore throat?","medicine_advice","Lozenges, pain relievers, and warm fluids may help. Antibiotics only if prescribed."
"Is it safe to take expired tablets?","medicine_advice","No, expired tablets may be ineffective or harmful. Safely discard them."
"Can I use painkillers for arthritis?","medicine_advice","Yes, NSAIDs like ibuprofen may help arthritis pain, but long-term use needs medical advice."
"Which pill helps with gas?","medicine_advice","Simethicone tablets may relieve gas and bloating."
"Is ibuprofen safe during pregnancy?","medicine_advice","Ibuprofen is not recommended in late pregnancy. Paracetamol is usually safer. Always consult your doctor."
"Should I use antibiotics for cough?","medicine_advice","Most coughs are viral and don’t need antibiotics. Use them only if prescribed."
"Is paracetamol good for toothache?","medicine_advice","Yes, paracetamol may help relieve toothache. Visit a dentist for proper treatment."
"What drug helps with panic attacks?","medicine_advice","Doctors may prescribe fast-acting medicines, but therapy and breathing techniques are safer long-term."
"Can I take medicine with juice?","medicine_advice","Some medicines interact with juices (like grapefruit). Always check label or ask a pharmacist."
"Is it okay to skip doses?","medicine_advice","Occasional missed doses are common. Don’t double up; just continue as prescribed."
