condition_en,condition_hi,description_en,description_hi,possible_symptom_en,possible_symptom_hi,first_aid_tips_en,first_aid_tips_hi,prevention_tips_en,prevention_tips_hi,disclaimer_en,disclaimer_hi
Minor Cuts and Wounds,छोटे कट और घाव,First aid for small cuts and scrapes.,छोटे कट और खरोंच के लिए प्राथमिक उपचार।,"Bleeding, pain, redness.","खून बहना, दर्द, लालिमा।","Clean with soap and water, apply antiseptic, and cover with a bandage.","साबुन और पानी से साफ करें, एंटीसेप्टिक लगाएं, और पट्टी से ढकें।",Use caution with sharp objects and keep wounds clean.,तेज वस्तुओं से सावधानी बरतें और घावों को साफ रखें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Burns (Minor),जलन (हल्की),Treating minor burns at home.,घर पर हल्की जलन का इलाज।,"Redness, pain, swelling.","लालिमा, दर्द, सूजन।","Cool under running water, cover with sterile dressing, avoid breaking blisters.","बहते पानी के नीचे ठंडा करें, बाँझ पट्टी से ढकें, और फफोले न फोड़ें।",Be cautious with hot objects and liquids.,गर्म वस्तुओं और तरल पदार्थों से सावधान रहें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Nosebleed,नाक से खून आना,How to stop a nosebleed safely.,नाक से खून को सुरक्षित रूप से कैसे रोकें।,"Bleeding from the nose, mild dizziness.","नाक से खून बहना, हल्का चक्कर आना।","Sit upright, lean forward, pinch the nose for 10–15 minutes.","सीधा बैठें, आगे झुकें, और 10–15 मिनट तक नाक को दबाएं।",Avoid nose picking and keep nasal passages moist.,नाक में उंगली डालने से बचें और नाक की नलियों को नम रखें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Blisters,फफोले,Caring for blisters on the feet or hands.,पैरों या हाथों पर फफोलों की देखभाल।,"Fluid-filled bump, tenderness.","तरल से भरा उभार, कोमलता।","Keep clean, avoid popping, cover with a sterile bandage.","साफ रखें, फफोले न फोड़ें, बाँझ पट्टी से ढकें।",Wear comfortable shoes and reduce friction.,आरामदायक जूते पहनें और घर्षण को कम करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Sleep Hygiene,नींद की स्वच्छता,Practices for better sleep and overall health.,बेहतर नींद और समग्र स्वास्थ्य के लिए अभ्यास।,"Fatigue, poor concentration, irritability.","थकान, एकाग्रता की कमी, चिड़चिड़ापन।",Maintain a regular sleep schedule and create a restful environment.,नियमित नींद का समय बनाए रखें और शांत वातावरण बनाएं।,Avoid screens before bed and limit caffeine intake.,सोने से पहले स्क्रीन से बचें और कैफीन का सेवन सीमित करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Immunity Boosting,प्रतिरक्षा प्रणाली को मजबूत करना,Ways to strengthen your immune system.,अपनी प्रतिरक्षा प्रणाली को मजबूत करने के उपाय।,"Frequent infections, slow recovery.","बार-बार संक्रमण, धीमा सुधार।","Eat a balanced diet, exercise, and get enough sleep.","संतुलित आहार लें, व्यायाम करें और पर्याप्त नींद लें।",Practice good hygiene and manage stress.,अच्छी स्वच्छता अपनाएं और तनाव को नियंत्रित करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Hydration,हाइड्रेशन,Importance of staying hydrated for health.,स्वास्थ्य के लिए हाइड्रेटेड रहने का महत्व।,"Dry mouth, fatigue, dark urine.","मुंह का सूखना, थकान, गहरा रंग का मूत्र।",Drink water regularly throughout the day.,दिन भर नियमित रूप से पानी पिएं।,Carry a water bottle and monitor fluid intake.,पानी की बोतल साथ रखें और तरल पदार्थ का सेवन नियंत्रित करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Stress Reduction,तनाव कम करना,Natural ways to reduce stress and improve well-being.,तनाव को कम करने और भलाई बढ़ाने के प्राकृतिक उपाय।,"Irritability, muscle tension, trouble sleeping.","चिड़चिड़ापन, मांसपेशियों में तनाव, नींद में परेशानी।","Practice deep breathing, meditation, and regular exercise.","गहरी सांस लेना, ध्यान करना और नियमित व्यायाम करें।",Maintain a healthy routine and seek support when needed.,स्वस्थ दिनचर्या बनाए रखें और आवश्यकता होने पर सहायता लें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Healthy Eating,स्वस्थ भोजन,Tips for a balanced and nutritious diet.,संतुलित और पौष्टिक आहार के लिए सुझाव।,"Low energy, frequent illness, poor digestion.","कम ऊर्जा, बार-बार बीमार पड़ना, खराब पाचन।","Include fruits, vegetables, whole grains, and lean proteins in meals.","भोजन में फल, सब्जियां, साबुत अनाज और कम वसा वाले प्रोटीन शामिल करें।",Plan meals and limit processed foods.,भोजन की योजना बनाएं और प्रोसेस्ड खाद्य पदार्थों को सीमित करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Protein Intake,प्रोटीन का सेवन,Ensuring adequate protein in your daily diet.,अपने दैनिक आहार में पर्याप्त प्रोटीन सुनिश्चित करना।,"Muscle loss, fatigue, slow recovery.","मांसपेशियों की कमी, थकान, धीमा सुधार।","Include eggs, dairy, legumes, and lean meats in meals.","भोजन में अंडे, डेयरी, दालें और कम वसा वाला मांस शामिल करें।",Balance protein sources and monitor intake.,प्रोटीन स्रोतों को संतुलित करें और सेवन की निगरानी करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Vitamin Deficiency,विटामिन की कमी,Recognizing and preventing vitamin deficiencies.,विटामिन की कमी को पहचानना और रोकना।,"Fatigue, poor immunity, skin issues.","थकान, कमजोर प्रतिरक्षा, त्वचा की समस्याएं।","Eat a variety of fruits, vegetables, and whole grains.","विभिन्न प्रकार के फल, सब्जियां और साबुत अनाज खाएं।",Consider supplements if recommended by a doctor.,यदि डॉक्टर सलाह दें तो सप्लीमेंट पर विचार करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Fiber for Digestion,पाचन के लिए फाइबर,Role of fiber in digestive health.,पाचन स्वास्थ्य में फाइबर की भूमिका।,"Constipation, bloating, irregular bowel movements.","कब्ज, सूजन, अनियमित मल त्याग।","Increase intake of whole grains, fruits, and vegetables.","साबुत अनाज, फल और सब्जियों का सेवन बढ़ाएं।",Maintain a balanced diet with adequate fiber.,पर्याप्त फाइबर के साथ संतुलित आहार बनाए रखें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Iron Deficiency,आयरन की कमी,Understanding iron deficiency and its effects.,आयरन की कमी और उसके प्रभाव को समझना।,"Fatigue, pale skin, shortness of breath.","थकान, पीली त्वचा, सांस की कमी।","Eat iron-rich foods like spinach, beans, and red meat.","पालक, दालें और लाल मांस जैसे आयरन युक्त खाद्य पदार्थ खाएं।",Pair iron foods with vitamin C for better absorption.,बेहतर अवशोषण के लिए आयरन युक्त भोजन को विटामिन C के साथ लें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Healthy Fats,स्वस्थ वसा,Importance of healthy fats in the diet.,आहार में स्वस्थ वसा का महत्व।,"Dry skin, low energy, poor vitamin absorption.","सूखी त्वचा, कम ऊर्जा, विटामिन का खराब अवशोषण।","Include nuts, seeds, olive oil, and fatty fish in meals.","भोजन में मेवे, बीज, जैतून का तेल और वसायुक्त मछली शामिल करें।",Limit trans fats and processed oils.,ट्रांस फैट और प्रोसेस्ड तेलों को सीमित करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Managing Stress,तनाव का प्रबंधन,Techniques to manage and reduce stress.,तनाव को प्रबंधित और कम करने की तकनीकें।,"Anxiety, irritability, sleep problems.","चिंता, चिड़चिड़ापन, नींद की समस्याएं।","Practice mindfulness, deep breathing, and take breaks.","माइंडफुलनेस, गहरी सांस लेना और ब्रेक लेना अभ्यास करें।",Maintain a healthy routine and seek support if needed.,स्वस्थ दिनचर्या बनाए रखें और आवश्यकता होने पर सहायता लें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Reducing Anxiety,चिंता को कम करना,Natural ways to reduce anxiety and improve focus.,चिंता को कम करने और ध्यान केंद्रित करने के प्राकृतिक उपाय।,"Restlessness, rapid heartbeat, excessive worry.","बेचैनी, तेज़ धड़कन, अत्यधिक चिंता।","Try meditation, light exercise, and grounding techniques.","ध्यान, हल्का व्यायाम और ग्राउंडिंग तकनीकें आज़माएं।",Limit caffeine and practice relaxation regularly.,कैफीन सीमित करें और नियमित रूप से विश्राम का अभ्यास करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Improving Sleep Quality,नींद की गुणवत्ता सुधारना,Habits to improve sleep and mental health.,नींद और मानसिक स्वास्थ्य सुधारने की आदतें।,"Difficulty falling asleep, frequent waking, tiredness.","नींद आने में कठिनाई, बार-बार जागना, थकान।",Maintain a sleep schedule and avoid screens before bed.,नींद का समय तय रखें और सोने से पहले स्क्रीन से बचें।,Create a calming bedtime routine.,शांतिपूर्ण सोने की दिनचर्या बनाएं।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Boosting Concentration,एकाग्रता बढ़ाना,Tips to improve focus and mental clarity.,ध्यान और मानसिक स्पष्टता सुधारने के सुझाव।,"Distractibility, forgetfulness, poor performance.","ध्यान भटकना, भूलना, खराब प्रदर्शन।","Eliminate distractions, take breaks, and eat brain-healthy foods.","ध्यान भटकाने वाली चीजें हटाएं, ब्रेक लें, और मस्तिष्क के लिए लाभकारी भोजन करें।",Practice mindfulness and regular exercise.,माइंडफुलनेस और नियमित व्यायाम का अभ्यास करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Emotional Resilience,भावनात्मक सहनशीलता,Building resilience to cope with life's challenges.,जीवन की चुनौतियों से निपटने के लिए सहनशीलता विकसित करना।,"Difficulty coping, mood swings, low motivation.","सामना करने में कठिनाई, मूड में उतार-चढ़ाव, कम प्रेरणा।","Practice self-care, talk to trusted people, and seek professional help if needed.","स्व-देखभाल करें, भरोसेमंद लोगों से बात करें, और आवश्यकता होने पर विशेषज्ञ की मदद लें।",Develop healthy coping strategies and maintain social connections.,स्वस्थ मुकाबला रणनीतियाँ विकसित करें और सामाजिक संबंध बनाए रखें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Walking for Fitness,फिटनेस के लिए चलना,Benefits of regular walking for overall health.,समग्र स्वास्थ्य के लिए नियमित रूप से चलने के लाभ।,"Low energy, poor endurance, weight gain.","कम ऊर्जा, सहनशक्ति की कमी, वजन बढ़ना।",Start with short walks and gradually increase duration.,छोटे वॉक से शुरू करें और धीरे-धीरे समय बढ़ाएं।,"Aim for 7,000–10,000 steps daily.","प्रतिदिन 7,000–10,000 कदम चलने का लक्ष्य रखें।",This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Stretching and Flexibility,स्ट्रेचिंग और लचीलापन,Importance of stretching for injury prevention and mobility.,चोट से बचाव और गतिशीलता के लिए स्ट्रेचिंग का महत्व।,"Muscle tightness, reduced range of motion.","मांसपेशियों में जकड़न, गति की सीमा में कमी।",Incorporate daily stretching and warm up before exercise.,दैनिक स्ट्रेचिंग करें और व्यायाम से पहले वार्मअप करें।,Practice regular stretching and yoga.,नियमित स्ट्रेचिंग और योग का अभ्यास करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Cardio Exercise,हृदय संबंधी व्यायाम,Role of cardio workouts in heart health and fitness.,हृदय स्वास्थ्य और फिटनेस में कार्डियो व्यायाम की भूमिका।,"Shortness of breath, low stamina, fatigue.","सांस फूलना, कम सहनशक्ति, थकान।","Engage in activities like brisk walking, running, or cycling.","तेज़ चलना, दौड़ना या साइकिल चलाना जैसे गतिविधियों में भाग लें।",Aim for at least 150 minutes of moderate activity per week.,प्रति सप्ताह कम से कम 150 मिनट की मध्यम गतिविधि का लक्ष्य रखें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Strength Training,शक्ति प्रशिक्षण,Benefits of resistance and weight training for muscle health.,मांसपेशियों के स्वास्थ्य के लिए प्रतिरोध और वजन प्रशिक्षण के लाभ।,"Muscle weakness, poor posture, low bone density.","मांसपेशियों की कमजोरी, खराब मुद्रा, कम हड्डी घनत्व।",Start with bodyweight exercises and progress gradually.,शरीर के वजन वाले व्यायाम से शुरू करें और धीरे-धीरे प्रगति करें।,Include strength training 2–3 times per week.,प्रति सप्ताह 2–3 बार शक्ति प्रशिक्षण शामिल करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
Yoga for Mobility,गतिशीलता के लिए योग,"How yoga improves flexibility, balance, and mental well-being.","योग कैसे लचीलापन, संतुलन और मानसिक भलाई को सुधारता है।","Stiffness, stress, poor balance.","जकड़न, तनाव, खराब संतुलन।",Practice basic yoga poses and focus on breathing.,मूल योग मुद्राओं का अभ्यास करें और सांस पर ध्यान केंद्रित करें।,Incorporate yoga into your weekly routine.,अपने साप्ताहिक दिनचर्या में योग को शामिल करें।,This information is for educational purposes only. Consult a healthcare professional for medical advice.,यह जानकारी केवल शैक्षिक उद्देश्यों के लिए है। चिकित्सीय सलाह के लिए स्वास्थ्य विशेषज्ञ से परामर्श लें।
